%time,field.header.seq,field.header.stamp,field.header.frame_id,field.success,field.message,field.pin,field.value
1568660552682771611,1,1568660552682100057,,1,,10,100
1568660553663500419,2,1568660553663208961,,1,,10,0
1568660570360500117,3,1568660570360239028,,1,,10,100
1568660571363090302,4,1568660571362741947,,1,,10,0
1568660586437137487,5,1568660586436785936,,1,,10,100
1568660587441921901,6,1568660587441597938,,1,,10,0
1568660602446437078,7,1568660602445724964,,1,,10,100
1568660603436373759,8,1568660603435959100,,1,,10,0
1568660618483720090,9,1568660618483351945,,1,,10,100
1568660619483514449,10,1568660619482680082,,1,,10,0
1568660639698543347,11,1568660639698211908,,1,,10,100
1568660640691993152,12,1568660640691705942,,1,,10,0
1568660655709213769,13,1568660655708833932,,1,,10,100
1568660656708334120,14,1568660656707146883,,1,,10,0
1568660671770165627,15,1568660671769736051,,1,,10,100
1568660672773444808,16,1568660672769449949,,1,,10,0
1568660687830825531,17,1568660687830086946,,1,,10,100
1568660688830629609,18,1568660688829945087,,1,,10,0
1568660703831241792,19,1568660703830924034,,1,,10,100
1568660704830829440,20,1568660704830502986,,1,,10,0
1568660734202725062,21,1568660734201966047,,1,,10,100
1568660735206778871,22,1568660735206440925,,1,,10,0
1568660750273651916,23,1568660750272005081,,1,,10,100
1568660751278241638,24,1568660751277704954,,1,,10,0
1568660773339253521,25,1568660773338907003,,1,,10,100
1568660774339827759,26,1568660774339446067,,1,,10,0
1568660789370885602,27,1568660789370585918,,1,,10,100
1568660790376585847,28,1568660790376204967,,1,,10,0
1568660818917248064,29,1568660818916898965,,1,,10,100
1568660819915536479,30,1568660819914798021,,1,,10,0
1568660836670209567,31,1568660836669882059,,1,,10,100
1568660837666338855,32,1568660837666023969,,1,,10,0
1568661150477108649,33,1568661150475451946,,1,,10,100
1568661151475991021,34,1568661151475419044,,1,,10,0
1568661166531997041,35,1568661166531694889,,1,,10,100
1568661167560860372,36,1568661167560559034,,1,,10,0
1568661191301975205,37,1568661191301657915,,1,,10,100
1568661192300730395,38,1568661192300384044,,1,,10,0
1568661207350050889,39,1568661207349644899,,1,,10,100
1568661208367585521,40,1568661208365036964,,1,,10,0
1568661223384571977,41,1568661223384217977,,1,,10,100
1568661224379789918,42,1568661224379102945,,1,,10,0
1568661239434391545,43,1568661239434072971,,1,,10,100
1568661240435851873,44,1568661240435349941,,1,,10,0
1568661301905431286,45,1568661301899898052,,1,,10,100
1568661302923973163,46,1568661302923264026,,1,,10,0
1568661317942655633,47,1568661317941169023,,1,,10,100
1568661318940460132,48,1568661318940172910,,1,,10,0
1568661351287569329,49,1568661351286739110,,1,,10,100
1568661352278312968,50,1568661352277931928,,1,,10,0
1568661397294002461,51,1568661397293591976,,1,,10,100
1568661398319008930,52,1568661398318572998,,1,,10,0
1568661435608610957,53,1568661435607790946,,1,,10,100
1568661436604445930,54,1568661436604120969,,1,,10,0
1568661754882746099,55,1568661754882494926,,1,,10,100
1568661755886333484,56,1568661755886018991,,1,,10,0
1568661778002490452,57,1568661778001857995,,1,,10,100
1568661779002284676,58,1568661779001543045,,1,,10,0
1568661794004967653,59,1568661794004636049,,1,,10,100
1568661795004858689,60,1568661795004580020,,1,,10,0
1568661883315873070,61,1568661883315572023,,1,,10,100
1568661884311035813,62,1568661884310370922,,1,,10,0
1568661988721374289,63,1568661988720655918,,1,,10,100
1568661989720807539,64,1568661989719382047,,1,,10,0
1568662004726296049,65,1568662004725634098,,1,,10,100
1568662005727093014,66,1568662005726450920,,1,,10,0
1568662367410243072,67,1568662367407002925,,1,,10,100
1568662368407502244,68,1568662368407099008,,1,,10,0
1568662439136417630,69,1568662439135652065,,1,,10,100
1568662440160093819,70,1568662440159748077,,1,,10,0
1568662455142345118,71,1568662455141660928,,1,,10,100
1568662456147656470,72,1568662456147341012,,1,,10,0
1568662541421815409,73,1568662541421488046,,1,,10,100
1568662542419346764,74,1568662542419034957,,1,,10,0
1568662557430785046,75,1568662557430452108,,1,,10,100
1568662558449879263,76,1568662558447520971,,1,,10,0
1568662573447871983,77,1568662573447509050,,1,,10,100
1568662574453560217,78,1568662574451685905,,1,,10,0
1568662946690546091,79,1568662946690243005,,1,,10,100
1568662947689688459,80,1568662947689405918,,1,,10,0
1568662962702650206,81,1568662962701916933,,1,,10,100
1568662963737639846,82,1568662963737314939,,1,,10,0
1568662978710789330,83,1568662978710488080,,1,,10,100
1568662979709679984,84,1568662979709338903,,1,,10,0
1568663143856698175,85,1568663143856309890,,1,,10,100
