%time,field.header.seq,field.header.stamp,field.header.frame_id,field.success,field.message,field.pin,field.value
1562963597265729809,1,1562963597264362096,,1,,10,100
1562963598259813267,2,1562963598259485960,,1,,10,0
1562963635930439948,3,1562963635930028915,,1,,10,100
1562963636934863358,4,1562963636934123992,,1,,10,0
1562963652416041159,5,1562963652415728092,,1,,10,100
1562963653414925386,6,1562963653414488077,,1,,10,0
1562963668436525223,7,1562963668436136960,,1,,10,100
1562963669437766828,8,1562963669434436082,,1,,10,0
1562963685042662398,9,1562963685041908025,,1,,10,100
1562963686042735784,10,1562963686042270898,,1,,10,0
1562963702015207004,11,1562963702014923095,,1,,10,100
1562963703014387422,12,1562963703013988971,,1,,10,0
1562963723329962421,13,1562963723329538106,,1,,10,100
1562963724332075427,14,1562963724331650972,,1,,10,0
1562963741780329397,15,1562963741779969930,,1,,10,100
1562963742782710250,16,1562963742782211065,,1,,10,0
1562963763150325291,17,1562963763149950027,,1,,10,100
1562963764153986324,18,1562963764151500940,,1,,10,0
1562963784773370185,19,1562963784772981882,,1,,10,100
1562963785775044691,20,1562963785774318933,,1,,10,0
1562963801177609286,21,1562963801177300930,,1,,10,100
1562963802161800434,22,1562963802161458015,,1,,10,0
1562963824574429671,23,1562963824570574998,,1,,10,100
1562963825570208721,24,1562963825569791078,,1,,10,0
1562963841345890100,25,1562963841345561027,,1,,10,100
1562963842347384346,26,1562963842347039937,,1,,10,0
1562963857513924062,27,1562963857513382911,,1,,10,100
1562963858514989021,28,1562963858514688014,,1,,10,0
1562963873526090279,29,1562963873525772094,,1,,10,100
1562963874531781601,30,1562963874530060052,,1,,10,0
1562963889546127485,31,1562963889545804023,,1,,10,100
1562963890543322131,32,1562963890543004035,,1,,10,0
1562963905698956155,33,1562963905698208093,,1,,10,100
1562963906698185863,34,1562963906697900056,,1,,10,0
1562963923027071236,35,1562963923026762962,,1,,10,100
1562963924030583187,36,1562963924029884099,,1,,10,0
1562963939227319687,37,1562963939226950883,,1,,10,100
1562963940230488068,38,1562963940230132102,,1,,10,0
1562963957374559063,39,1562963957374226093,,1,,10,100
1562963958372413031,40,1562963958371743917,,1,,10,0
1562963976332220398,41,1562963976331538915,,1,,10,100
1562963977345697105,42,1562963977345345973,,1,,10,0
1562963997529882427,43,1562963997529519081,,1,,10,100
1562963998542324825,44,1562963998541965961,,1,,10,0
1562964022615338056,45,1562964022614597082,,1,,10,100
1562964023587428629,46,1562964023587105989,,1,,10,0
1562964044252011001,47,1562964044251698970,,1,,10,100
1562964045256251270,48,1562964045255927085,,1,,10,0
1562964062267349957,49,1562964062265835046,,1,,10,100
1562964063265940989,50,1562964063265582084,,1,,10,0
1562964082478547655,51,1562964082477778911,,1,,10,100
1562964083475338662,52,1562964083475071907,,1,,10,0
1562964101821468582,53,1562964101820756912,,1,,10,100
1562964102823440773,54,1562964102823112964,,1,,10,0
1562964121444820859,55,1562964121444427013,,1,,10,100
1562964122465517548,56,1562964122465183019,,1,,10,0
1562964139444235302,57,1562964139443917989,,1,,10,100
1562964140451939551,58,1562964140451663970,,1,,10,0
1562964159298841705,59,1562964159297714948,,1,,10,100
1562964160296164274,60,1562964160295804977,,1,,10,0
1562964182462164346,61,1562964182461359977,,1,,10,100
1562964183460813185,62,1562964183460520029,,1,,10,0
1562964206037428500,63,1562964206037097930,,1,,10,100
1562964207034569904,64,1562964207034259080,,1,,10,0
1562964225713393364,65,1562964225713043928,,1,,10,100
1562964226713210404,66,1562964226712815999,,1,,10,0
1562964253208087363,67,1562964253206695079,,1,,10,100
1562964254206993272,68,1562964254206304073,,1,,10,0
1562964272911434838,69,1562964272911113023,,1,,10,100
1562964273905841982,70,1562964273905206918,,1,,10,0
1562964288915826904,71,1562964288915534019,,1,,10,100
1562964289919318002,72,1562964289919048070,,1,,10,0
1562964304920050506,73,1562964304918721914,,1,,10,100
1562964305919068372,74,1562964305918771028,,1,,10,0
1562964331602929220,75,1562964331601888895,,1,,10,100
1562964332602604899,76,1562964332602170944,,1,,10,0
1562964347605151519,77,1562964347604599952,,1,,10,100
1562964348605840396,78,1562964348604681968,,1,,10,0
1562964365827828348,79,1562964365827517032,,1,,10,100
1562964366823652292,80,1562964366823327064,,1,,10,0
1562964389205833196,81,1562964389202897071,,1,,10,100
1562964390202360817,82,1562964390201899051,,1,,10,0
1562964405525235359,83,1562964405524854898,,1,,10,100
1562964406525231517,84,1562964406523854970,,1,,10,0
1562964432054229419,85,1562964432053904056,,1,,10,100
1562964433031194127,86,1562964433030788898,,1,,10,0
1562964450829313816,87,1562964450828959941,,1,,10,100
1562964451829839288,88,1562964451829516887,,1,,10,0
1562964474793417860,89,1562964474793119907,,1,,10,100
1562964475798204831,90,1562964475797832965,,1,,10,0
1562964491802732882,91,1562964491802397966,,1,,10,100
1562964492809812189,92,1562964492809410095,,1,,10,0
1562964509348645767,93,1562964509348257064,,1,,10,100
1562964510347410993,94,1562964510346712112,,1,,10,0
1562964526970912373,95,1562964526968807935,,1,,10,100
1562964527970296726,96,1562964527969906091,,1,,10,0
1562964552860930927,97,1562964552860244035,,1,,10,100
