%time,field.header.seq,field.header.stamp,field.header.frame_id,field.success,field.message,field.pin,field.value
1560989380960691898,1,1560989380960324048,,1,,10,100
1560989381985536578,2,1560989381985160112,,1,,10,0
1560989412065821374,3,1560989412060889959,,1,,10,100
1560989413061685955,4,1560989413060930013,,1,,10,0
1560989428066002729,5,1560989428064956903,,1,,10,100
1560989429081452299,6,1560989429081115961,,1,,10,0
1560989444339584723,7,1560989444338823080,,1,,10,100
1560989445340187851,8,1560989445339643001,,1,,10,0
1560989463810407291,9,1560989463810107946,,1,,10,100
1560989464812627003,10,1560989464812328100,,1,,10,0
1560989480662250367,11,1560989480661928892,,1,,10,100
1560989481670406106,12,1560989481661706924,,1,,10,0
1560989496888090770,13,1560989496887348890,,1,,10,100
1560989497886320501,14,1560989497885966062,,1,,10,0
1560989515380098472,15,1560989515379728078,,1,,10,100
1560989516381768024,16,1560989516377686977,,1,,10,0
1560989531445519423,17,1560989531444180011,,1,,10,100
1560989532445863543,18,1560989532443624019,,1,,10,0
1560989549852595637,19,1560989549852279901,,1,,10,100
1560989550853504982,20,1560989550853219985,,1,,10,0
1560989572004247329,21,1560989572003544092,,1,,10,100
1560989573019181243,22,1560989573018480062,,1,,10,0
1560989588145222442,23,1560989588143403053,,1,,10,100
1560989589143897062,24,1560989589143527030,,1,,10,0
1560989608290750675,25,1560989608290438890,,1,,10,100
1560989609290354857,26,1560989609290077924,,1,,10,0
1560989629253859979,27,1560989629251413106,,1,,10,100
1560989630261852602,28,1560989630254664897,,1,,10,0
1560989652585503046,29,1560989652585172891,,1,,10,100
1560989653585285766,30,1560989653584769964,,1,,10,0
1560989669176766988,31,1560989669176414966,,1,,10,100
1560989670157910709,32,1560989670152623891,,1,,10,0
1560989690000560546,33,1560989690000235080,,1,,10,100
1560989691000457404,34,1560989691000183105,,1,,10,0
1560989737199133251,35,1560989737198764085,,1,,10,100
1560989738198914060,36,1560989738198617935,,1,,10,0
1560989756422633059,37,1560989756422281026,,1,,10,100
1560989757418533342,38,1560989757418158054,,1,,10,0
1560989776292550732,39,1560989776291755914,,1,,10,100
1560989777293205486,40,1560989777292150974,,1,,10,0
1560989798632885835,41,1560989798632512092,,1,,10,100
1560989799625219874,42,1560989799624593973,,1,,10,0
1560989815524930560,43,1560989815524682044,,1,,10,100
1560989816546300305,44,1560989816545943021,,1,,10,0
1560989838540454240,45,1560989838540174961,,1,,10,100
1560989839543187119,46,1560989839542917966,,1,,10,0
1560989866658237646,47,1560989866657557010,,1,,10,100
1560989867648829027,48,1560989867648541927,,1,,10,0
1560989888871112017,49,1560989888870651960,,1,,10,100
1560989889869113228,50,1560989889868829965,,1,,10,0
1560989906136276420,51,1560989906135560989,,1,,10,100
1560989907111948849,52,1560989907111233949,,1,,10,0
1560989924946641782,53,1560989924946341037,,1,,10,100
1560989925946819284,54,1560989925946439027,,1,,10,0
1560989949185483500,55,1560989949184766054,,1,,10,100
1560989950196532281,56,1560989950196207046,,1,,10,0
1560989975899552665,57,1560989975898961067,,1,,10,100
1560989976867754174,58,1560989976867373943,,1,,10,0
1560989991918525218,59,1560989991918215036,,1,,10,100
1560989992916908179,60,1560989992916531085,,1,,10,0
1560990012542443991,61,1560990012541717052,,1,,3,100
1560990013539856206,62,1560990013539542913,,1,,3,0
1560990028545312484,63,1560990028544789075,,1,,3,100
1560990029545634325,64,1560990029545305013,,1,,3,0
1560990048303888145,65,1560990048303574085,,1,,10,100
1560990049300694787,66,1560990049300371885,,1,,10,0
1560990075139182294,67,1560990075138838052,,1,,10,100
1560990076139661932,68,1560990076139305114,,1,,10,0
1560990097603496083,69,1560990097602813005,,1,,10,100
1560990098624992051,70,1560990098624656915,,1,,10,0
1560990115923535447,71,1560990115923041105,,1,,10,100
1560990116920941389,72,1560990116917202949,,1,,10,0
1560990140572170491,73,1560990140571476936,,1,,10,100
1560990141563098987,74,1560990141562390089,,1,,10,0
1560990179929469402,75,1560990179929105043,,1,,3,100
1560990180934340204,76,1560990180934015035,,1,,3,0
1560990199931691227,77,1560990199929821014,,1,,10,100
1560990200932745103,78,1560990200932085037,,1,,10,0
1560990215939180026,79,1560990215938821077,,1,,10,100
1560990216940813173,80,1560990216940140962,,1,,10,0
1560990244781022310,81,1560990244780695915,,1,,10,100
1560990245781815441,82,1560990245779006004,,1,,10,0
1560990269217801101,83,1560990269213898897,,1,,10,100
1560990270214315784,84,1560990270214001893,,1,,10,0
1560990295990862928,85,1560990295990134954,,1,,10,100
1560990296990982690,86,1560990296989734888,,1,,10,0
1560990335970165246,87,1560990335969871997,,1,,10,100
1560990336969225024,88,1560990336964978933,,1,,10,0
1560990354146151603,89,1560990354145368099,,1,,3,100
1560990355141631026,90,1560990355141264915,,1,,3,0
1560990373183099233,91,1560990373179253101,,1,,3,100
1560990374189789903,92,1560990374185978889,,1,,3,0
1560990391774821653,93,1560990391774441003,,1,,10,100
1560990392778406140,94,1560990392777944087,,1,,10,0
1560990412108158003,95,1560990412107395887,,1,,10,100
1560990413107901367,96,1560990413107136964,,1,,10,0
1560990434345907786,97,1560990434345577001,,1,,10,100
1560990435347824687,98,1560990435347484111,,1,,10,0
1560990461022640727,99,1560990461021941900,,1,,10,100
1560990462020926935,100,1560990462020566940,,1,,10,0
1560990493989199505,101,1560990493988023042,,1,,10,100
1560990494996127989,102,1560990494991039991,,1,,10,0
1560990511826792007,103,1560990511826075077,,1,,10,100
1560990512826951308,104,1560990512826536893,,1,,10,0
1560990531836893970,105,1560990531832983016,,1,,10,100
1560990532829890771,106,1560990532829579114,,1,,10,0
1560990551419676983,107,1560990551418997049,,1,,3,100
1560990552428495842,108,1560990552427817106,,1,,3,0
1560990572487777815,109,1560990572487483024,,1,,3,100
1560990573502796865,110,1560990573502489089,,1,,3,0
1560990588535622142,111,1560990588535243034,,1,,3,100
1560990589515010084,112,1560990589512684106,,1,,3,0
1560990637452113168,113,1560990637451822996,,1,,10,100
1560990638462616549,114,1560990638462165117,,1,,10,0
1560990660081848331,115,1560990660081496953,,1,,10,100
1560990661082689741,116,1560990661082393884,,1,,10,0
1560990676081693796,117,1560990676081409931,,1,,10,100
1560990677081635662,118,1560990677081310987,,1,,10,0
1560990693877740872,119,1560990693877044916,,1,,3,100
1560990694877610793,120,1560990694877238035,,1,,3,0
1560990709883067799,121,1560990709882720947,,1,,3,100
1560990710889828132,122,1560990710884888887,,1,,3,0
1560990728761754563,123,1560990728761373043,,1,,10,100
1560990729764543046,124,1560990729764218091,,1,,10,0
1560990762069388922,125,1560990762068495988,,1,,3,100
1560990763097966213,126,1560990763068855047,,1,,3,0
1560990778959189299,127,1560990778957012891,,1,,10,100
1560990779966819204,128,1560990779966510057,,1,,10,0
1560990803305858413,129,1560990803303070068,,1,,10,100
1560990804302804365,130,1560990804302530050,,1,,10,0
1560990820140808592,131,1560990820140170097,,1,,3,100
1560990821137235865,132,1560990821136926889,,1,,3,0
1560990850502846672,133,1560990850502476930,,1,,10,100
1560990851498803638,134,1560990851498512029,,1,,10,0
1560990865364835097,135,1560990865364478111,,1,,3,100
1560990866366562756,136,1560990866365479946,,1,,3,0
1560990883534400539,137,1560990883534063100,,1,,3,100
1560990884546321487,138,1560990884546005010,,1,,3,0
1560990899548946454,139,1560990899545839071,,1,,3,100
1560990900545823496,140,1560990900545484066,,1,,3,0
1560990915588652780,141,1560990915587809085,,1,,3,100
1560990916585489758,142,1560990916584841966,,1,,3,0
1560990931592027157,143,1560990931591706991,,1,,3,100
1560990932597759290,144,1560990932591912984,,1,,3,0
1560990956731552303,145,1560990956731240987,,1,,10,100
1560990957733245011,146,1560990957732881069,,1,,10,0
1560990988587912261,147,1560990988587568998,,1,,10,100
1560990989589760947,148,1560990989589449882,,1,,10,0
1560991005151219888,149,1560991005150542020,,1,,3,100
1560991006152958566,150,1560991006152657985,,1,,3,0
1560991024719734570,151,1560991024719353914,,1,,3,100
1560991025721896749,152,1560991025721179008,,1,,3,0
1560991041545802317,153,1560991041541161060,,1,,10,100
1560991042543870811,154,1560991042543474912,,1,,10,0
1560991073443833885,155,1560991073443523883,,1,,3,100
1560991074462344367,156,1560991074462042093,,1,,3,0
1560991092751244753,157,1560991092750971078,,1,,3,100
1560991093752489102,158,1560991093751799106,,1,,3,0
1560991112937387361,159,1560991112936418056,,1,,3,100
1560991113943977701,160,1560991113943661928,,1,,3,0
1560991131305238253,161,1560991131304925918,,1,,10,100
